name,branch,description,pubkey
coderdojo-shinagawa-gotenyama,shinagawa-gotenyama,CoderDojo品川御殿山のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDKrtkUb01Y8kzl4dDNiGVkEumVGPxOk6H5cVjKysnEUWqeKp3JQ9xxq+mKlMOg5IxLzgGuOQNBg4zE5n1yzlJMj5bJQJdTnUbPIf40Mpeetm4GX6Ijza3htC0M4dJAtcS89ZN6QzuO8okU8dnbb+Bx3BTYER9SyK8wh0dRwl6uirBw2wz5gAomjarBexTNi9oTguIgDz3HOOi37PLipbe7+UFRFOip6Ux6BM5XlGDMmUMDhP/NUwvtuGg6dEU92G5NDEpG5/6x9CvZA/5JiXxIbhVXKZcR9TbJZ2O610V+DvluQtkUeDoH2gX+QzTAIKANdtSKn8d6bTyjJcugrNgMOysVzOWbyAzdxx9sGjrET2h0ffSbLi/ZONePifu9MSMe3absCe7aQ6pgGT8JiDvuABCIc5eC811A5WE0M85MMDVgpsJg5kXYbTRUQ6pXg8e9WOm0g8npoPxkw/SrZ2fFPVnPCcnZeJunIJneNcdzJJfQ5B6joBgoMn9ja2VgxTaYlz2IZU0JmtWS9uKnpuNAopA7/lElYOHsxS7nomPbV86paq62+P7v5RqRKJJuXJGRj7toqCM3TFxqH/AHV9QKte/Ky6ax7BccQ5SuAzhYodS0ZsPBmJvf+I8v1OnRcr5bVUVHUa/dw3EKjyndKyY6Ceg4XcCneyu562JNyHpIkw== shinagawa.jp@coderdojo.com
coderdojo-urasoe,urasoe,CoderDojo浦添用のサーバーです。DojoのWebサイト環境及びニンジャの開発環境として活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDnOYZumAKcdabzp0BuRjf1tAl6H6jP40rmMDbiuyBcwNZYmW72VeOQZZ8K+W/rBdQNMvoQ2SNZzYGPa9A0Fusv6SIbzwG7TZMg+LvmAVHoUnGOUSxX53bcu6FpEDqiuc6dgZd3HRkKV1niVlNkQHqH32jeqkkzpbpcp+guwnVwdAq8ckKxWS3DuyV4EguPpeC4UTdnhhnOyp4iPVK0CAkKww1KCNQC+/4MdztVImxcGbJvcV+/fVWEtLwuWDNmYoM0nzTB39188vHp/fFL8RJAy4EHYoxzQCCQcVVIwzjDG/oFQqc2LFwQSoAliC1oV1lGSVw/1uPSx0bkeLkZOor1iOtlu16zCysn7CmF960SMjrcINyUdRQmg+aatjWULEWczjmiStQ99mxYr3CCdjsrL9TZlxZo2oWqBAeiwznDDYFl2j1/vn3k/j3nTYlYQLm3yryKfn5tFlXqhrj0ni/5s1x20ACt2EOVFukHRNrEKbBsWX0PDUZcqr/Pkr2zkAv4vEOh190jhshJX5SUP495I0yaSrosmhp0JCKzDgeUkVEX9/3XpYJ6VKVl/7DeZ7yMaKARvhglHlVFAN0t20GzKRLDabrkJVyuq6sja+zCKBcRes0t95XJsZK0SpvNkkzDhSFQHd/K9JY0+6UeRnarT//snKeAWSmULYZhBcbqnw== coderdojo.urasoe@gmail.com
coderdojo-nago,nago,CoderDojo名護用のサーバーです。DojoのWebサイトとして活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCovmtJIQq5eVtZ7XyI+JJEwDLNDC4FD0k7vDgzUZet1Rf7iYzCBWNccXfrMH3VbP9Q+H31y/WG8GLpQvonYv9KdbbrlZ+xsEFiBiThOaPyXMeKqtzFXz05l3VlvElVgTYg3xiTC1n5CGbgJ8sCAmmAkqZY2vLPGIAcRpY+lRyzUvGc2eh+UH8L63h/efzyQoSZGbT/XFSyr/iEzv2sZgC8PtA77iQLc4YzNjcAyzVp0uNCrOxZ9e+t7VsGE4Px2a0nn9Dpm3Y87YIbBXM3BcI1GdSukmC/FwCFf7Y6GPaFgQgNVn4MA7Os40dXQX7QCFqSqwg8OV9NOm8eEi2oL8nf
coderdojo-toyonaka,toyonaka,CoderDojo豊中用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDVJj42CQ8p0yoBJOUN7DyEvPvzldAsbzjgBoIVXehGw3NjU1DHQZa+4LD8oiHdSWUr6Az2rmc/tYG8euriBGaEyJs80tlKpbq3UDkvphLMydCo0YUu3XeTgXzZRYljBpOD68osMD8TCaxr+J0HIC4n7aHYu10h+gqBIRZH9h8+s2j6Cs0tfR0Yt9+KEL3XTBMAvGBy17xdKvrg00X6/E7Qam8MS6LaiQKvN48lBudnRdfZbId9EJwZUgdkKN/KmQorf7c9OjzO6VhPcMwikUDX2ruUDenL9uFeSnlAE1RzS68qiRAHGt20duPkEGg3KDZ/qfwiVR7e5r6JN+ydk2Ub monoc@DESKTOP-AH6IU0A
coderdojo-koza,koza,CoderDojoコザ用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDFTq2TK2grzUs6135UVVI6XJCgtXldz/em1+rcy7/Na16h1N+bPfyrMeouHh22IRWm+NhjgWCAmDP/Wp3SrrC9Is/x2fhX1VDDY1nJQBz43PVO0QehuAZuezryNoG9jhqzquZYwjn86PbL1H5T5DutpJNfi4OvUs5U9ALglOhcUShZwpTyYGcwmGMfIRFVWGrZiMs1CwqWBgU/n7KAuOnHzcjVJCCXt5FKvYm6btpefuBkvuT0GB3Cl4tpeu2xDR/xQNvnUZSrKd2L1dHaGmT5364OeG0xlbyo/aXluatCxRmKfUG6AU7JDc4JWg24LrvgYrNbS87dZ+t6gxikplDH oshiro@OSHIROnoMac-mini.local
coderdojo-ishigaki,ishigaki,CoderDojo石垣用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQDLShdb8LrTJ0pKWDYlJG+fIM/xL6wMO5Q1livDu9YCIF7aqMaQkhaikJXiJm/ZhmYcHYuahja2FJ02X+knQqvn0XNHYMU6EYhpLD1eUBKgYuLhcsiPF7yM5cNeL+moX/2K1DEbcZBxzXZd90JvC56HiUeOQ79DQXkZev8ha3AlVylT2dmr2puzGHhWLi3lKRJ1CcfexSYdHWcg4PeuRAtnM5T9tGK9uvR8dU7SYYRa1ohBiaxpR4wE35RfYy1cCjdKaSDra1FC4oOVMJPW7SeOB130EOyz2fuGSj9CnJts1uPzlRv/a8Qs5SINQoj8bdDIoCKMO7F9B6ppSDrM4PolZs8nusttfL3YVbLULpG8aCHknUTtlRGav0EyO4fWAuRwVCuCrab+ztQyugDuQn08oHZU3b0zljvLTHkUHlEMT0dKs4GxuJf3kt3d21IZnO1oHyEGtL/NGjxV1nAUh+xSt/Fdru3fRy0VFJr7nkTEeaKBnnljQnQEq3Box/aKACE= Hajime0512@
coderdojo-matsumoto,matsumoto,CoderDojo松本用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAz3JNJ37VUNHkxJXHS7hDcW37nJuEWIUm1dKAoh454CGKFqnxAaMjbXdRaSrb0HviE26lLkPaOkuoZMfirdoACp+C5Hfl6xsamrrBOaOxo+nswAeMKTa+GYqYAQ83hQP3BZNvA7Cs0YI3ilfW0RvFfH7GPXXOiJMdf31uavAuBAfrUADwVpSHr9PhaMrebaztp0QacSNSS8JL90L0WqF4Va9dt0Qcaa3saBbtTjW/w8gwGNccRIKxEtD/8sCfSUFJvUc6cQcTHvBS7OciX83DQ7vZCx+5CH82EGZFayT7GtXSojhszcLotRbz7RIVyW2ZkEBjdSJXzw3FX2RvQet77Q== coderdojo.matsumoto@gmail.com
coderdojo-ofuna,ofuna,CoderDojo大船用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCwyjlbLyIunvR08T4IbPf4A2OLfUh0yIKtenGilvpg6N7Oz4t9oU7eM/dOBoNgk3qtXBSQhEsMV4p6Ftojv9muU+ejME5VJRcobApzuBPUygrNXpsQJP85S7RrE7vcHC/Fq8XbgRR6Uy7W8wwuzwlxSpls7upy/qQ/XJ8ErfB5Cycc2l6dwaBQSVXLAbu6Avr2LFYzD8nZWIsP0wQschc2vIfgvgrRzBIv/IhAT2RKmmrGWyZnMu3RFPQxK6wfp+ERt1Knd6rtrClfA5eNU80F7WjSt69T1RWRiaNPskDjJlUP1OXG96M4xJ5oHtpUi3c94n0c/+H2fn1U8iLuxa1j shirokaihatsu@PC80699
coderdojo-nishihara,nishihara,CoderDojo西原用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDZ/f4ABLWCLktt1IkG0kFNBT3uVLDl0XmrzWjQphmxNbMB9G2HdmiX6E/DL0JWPU4bNlqiB6dT6MaWhVuGyJJStZ+aXRaWA6u7KXpD2nNRHaSXRyC2dKtuFYWJbFb3lkTjaUoJwWAu/h94i2PYpkcwJVebAiYxrDR04SCFZPq7QPYi5JYTWAs+RReIxFqfKeVe+lJwThFmcwlTdkIpmeJn7bo0iI8ZNcHdTGxmXDj20/pwNUaX+EgDBzK2yKZx+81pcR/XAqDuYxB7P0titCPYmX0xElxUdqfGdV9s3QthXbmQI8k3TuqaU4wYm91ZUFQnPlhxW9LQfoU8cHyN7Zkf @CODERDOJO01
coderdojo-sannomaru,sannomaru,coderdojo三の丸用のサーバです。ホームページに使います。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC90bNg7/rbVtQpfDyRVGOYUZSEG7YKJj0GCW46L1lCzb4wzlY82iUGnptEn4vALLW/9BuTI5iiowi7QFMu1iKqm+pD6XIzWo1IR2QgpasYMxGd3rxWSbpTNOyBaePfK9GhwUSNFvzOXZuvyQbcePILdwKjmDmHsg5xs7k9AdDVT52cRObpNN1PFyXXM3elbZFnTiGj8AqZdSP6SuEUp/n+5uC+CpCaSzVR7OGcsyxvgotRTX6MQlD3ljoxGDZMBMs5a3JDY61/zp5u73RmQ4ejexaIoQf5NqlNGdNArAZeOTmJpsZTyYN1K/u6zUdouPlBkAlxq7aLrYZ0Vu4Z2Nkd ituyama@
coderdojo-suita,suita,CoderDojo吹田用のサーバーです。マイクラ用のサーバーとして使います。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQCy0O/CL7WwSqgk17Rk4pPXr1NKF5lHxdTe5AFttEhPDT6UU31qTep4JkY7EwQLgl84f6ybqxLDqwKcFF+tsLVSP/9hAXLPfOgE/ej8fMOZB47KF4Y0q+WCs9n+HinNyfg4H96MulDPgjR/2zC0NJnIP7YS7og7V6knknYxpGByFSIMXcvAtJG7wuULg8tBbY3ozzT610ZIzDynLay6YpFxe0EfeXScAHoXdnfMguakWKpi66Sj67md/3ZQhoZUc8vt4q4zOizEMtU9up0gefz21UY2kOyjhiKXi3s+u3GmgzFMGzcq2wZwtsv7nvwxGtxANGlv83RRXtzEqK5hWRXnAt0iT361yWqMxuPqT7KKZalTis6tIuD9teHGi2xCPjysAWOnho2WdXKU2AB9oaibFJUUb3AHEP6NreKzAQJw+ER2Ec114WqsFyxdlE89rHHwY00qkqHh5LP2I24p0hs5tTLlQ+aSHjIONiDUywGW3F58JUI2LoTfQ9OKTX5sZoCJ+8JR/cMjtS5+z5ZGkuHQb16WopEWBH1J6LKZ3KqMOdF7uwavAC9Jps7WttywBTMdkrs9L2CiIw53mMrP+ie6OPlc/crZWe7uDaaoLGZ6ls2jWlmBhfQoIjqNs7cKYKBI+J+2urkYVyiwa0zUbNIAV+7vlyv+P6N6/fBN0MZGMw== suita.jp@coderdojo.com
coderdojo-todakoen,todakoen,CoderDojo戸田公園用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA7h8Sl2b8qJ1HcOja9WMqcB0rvk9sqsC9OSEhbWwXohvSduODHUAaXA8v7A2rmFfOpn7JItMri1fqGSSXw3/QjYyVUe9t8KdlG4rd42i+rRIMXOhq34C6RZJMaP1Djt8hyIlkECPcyAPkBAxx5JRYbxpurqWuTVyDw1hMeCY1RR+DpEKN8ImhCS2XhQQj35hRr4sk7+gBMOIHuCif2gPA6h6MaIE7cyFpV25d0gWSiBYgw2eMX3NyPTsYN4wZC3fj6lJcz3r9/1xi4JUvodKrW2fmKY1b1BzTSycKGYvxaKl+Z4+sUJVO60VhjYmmBR7ClXT5kw3jUpxbNTlpKWK5aQ==
coderdojo-itabashi,itabashi,CoderDojo板橋用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCxwc9TF7oZ9KH9OMH+XgoJyUMwN8Vjsm81CoJGHscILNuwIK5RoitNKaB4Mc6gM/R5mkVMMWDMU/mpZx6T2Y9RMgAuCO38dJ2axfeMDIvx9WVBkFjf+fXectlQUiEyBid3JNceL7H56D2OfX6oDOr6rjoUc7aXGcg+q7TazCw9eT6MgBcaAZ7BwvLUGqI8bndTvcAnJnX/DODzVki3S7XkdI1IrOpGDzYbVoYL84P+xDAw944bzVLHYJm3dlGPmxt5Wp/RFb0IICKY1aETsYJ/CPxMwcB/5NT874M3jtxWxPBQUrhx/hdJKVQj4+B/aGAexs5rp6i2WP4WIdKaajcN masahiro@masahiro.local
coderdojo-kamoi,kamoi,CoderDojo鴨居用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDj4H0JrmNt0ihJSbUoulW/ti1ryqDLakOOSbR6fbL6oUnqZOA0Bmn0QRwNSwPEmXiacvfcQXz9qgACtr4hvX9Gsddr4EZGidqSUfhe/iy5jnSqu9d5WAwsm3JiYPyDYILkgsT7KSbPgXqRqNnlzTLjWI5eAPWu4b7zj5tIMVoX6E/BS5rV9hJuPXX0t+JoX14Ysly1JcVoP/iOkE1oOU673O5ExKGP54mAiRoGL+9eDo5GwvLJ7Onz/QsWW1yK7MR6IZOssFln3cxH0aNnvzkdlDKKKtK6mDQa7MY6BS13UPitKOT4t3cmOgNDK+vRfW+6nzzg1vN/hdCBadTyvu11 takeshi@TAKESHI-HP
coderdojo-ikebukuro,ikebukuro,CoderDojo池袋用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAlXCZ1la2qAWOvgYJoWRmknf0FlDPLvlJ20TNL7TDUJZ0h3sSbPOcOaUGpw6tnHtm//j9pTrYU7DpLw7cVwfaXYaozFboEZ8qkBTuWI58lY/zKS5/k97M8CquCRkr3lRaVMGKeYJXp79eLJ343Q85WL482ol7Y6IHniedKRXSXCGRl/6OKSsD63/8ytw3yazQf4g9iaxY+idgJKgl81sTVWgQ5NGUZLUiRw7tg0KnF1TR8fKErpTPxABfh5BTsne61bcOocoxhhSizxcTHyM9k30/uWDsmR12IM6m/jWPWWqwUrsg6yh9gKxgjaBT7FXwrlfGHs8/kAbd9TVjJ3G08Q== kozureika@kozureika-THINK
coderdojo-kuji,kuji,CoderDojo久地用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDW0vzEnNmfoMSV90J5bAFF4cBCWXgFuZzew8M1+npDOtKaElCk0qWgLJFEd3FdYG5xChDEuqXasq42dtJlkOXdxdTr9eNoqVCpSP0fY+c5IDPjvgQnXHheaXBOLi/ONYCajtuRQLtJvN2YPKqJ3Nmf5VBXg0i1ixCQxm3OHojEeNWgh5nKgpPFXFmf+cQoHEm37xBqiSojd7Hn7ybfTS03HLQeDqiEpK/IHw6m9bQ69zntkWmYxsYvqw0+QtcincdqAQZTHJa7OgKMDXuFneCGxeeSzA39MuqqNhPHHTIxn12C0MUhYYC0I4T4XEqqO9T44ugmfk7pYwhRtwyOAWQ5 sagawa@sagawa-no-MacBook-Pro.local
coderdojo-ueda,ueda,CoderDojo上田用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCvIvshABSN6LmGUSDOmYR2LQ89tvtFq/tyyk3mswaIU3PeabV1p375JnCGSFMjE9GES3P3hkrm/2dpycphGkyr1o0LwI5OJ5uLJFbPlZwd5WZign1kKWcQ26AfA+6DcTBb9DBcJgjerP8wERGyMc76yuJAaq6JTf8WckcNwO/y84qYFDIHqAaQwwbednxkOv+eIGZLkxszk+k+VYivgXFzyZZ1mOWoIC5jddrlMVEjvJUwu4gOW0FZurSpeKG09cW8qAS7DZMtzkgS1KOx6v+oPAhY1PmkB9jNrxnMn9nSNMMw0MSOrjVCucIzN8J87IEyLtsbb7UyOAJyIeJEEzo/ ats@ats-FRONTIERPC
coderdojo-tachikawa,tachikawa,CoderDojo立川用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDIInpBxCN6+NQcsP1BMy00eJjrUjol+UgDoID36BtW4YAuCWWh8M/toT1AiNg/pgDF0t3DJ4uMOTvhKNNsDhnSqVi33KeeXAhGBUUICPd6NPORv0vITHcXt1HwvZ7w+5gRYCrNgzw6+3KwAur2BUpc8akhCZUwG2PC3FimiiHxGHU1fMIrfwMa20z42B8kbLC7HcmYVbbZL6ds1FUcMFh8vp1HdnYoe3jStjxfMFXcmuWe7VV41p3+Ah0kINZhjWMexPqWsXBdlUHseP5XogvZbItuW1vXr6e0Me5Xl6rr5VKsB+z+Ks//E1+dWzPUoxWyJCzBOJs61qcx1Tec/DAP naoki@Naoki-FMVA05002
coderdojo-naha,naha,CoderDojo那覇用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDT8hYh25C3jc4UXbStxWUTXzZqgRmgmCVNhcNF+YM1917PWEQ1q0DVHv9kVAtOx40bVq70OKwSVhveBuhKxX+LZcD7iKL7+bebyIrY1FuQhhaR5xFgVqTGAOt03olDP4Wl7pK6cXYPrnRghzlAdLHxOcCKEn5Ar/7G8aS8B6rQdnBWxWC+RkF5UKRfSFVnlILOdQj9Ac4byks+vwRUkaheU8Vu0klb4Uye8J6gyBTkDerkyV/MNxH9Tt5UbGPX0npYrgjmliErLV3eIQt55MKMMlsrT/VdafZ/VnQTyYV0xrvqBPnXWWRhDAn+XASEPAvNjT5kqmOC5Vn0I25/Tpdn naha.jp@coderdojo.com
coderdojo-nisshin,nisshin,CoderDojo日進用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDjhS0fBtSXVzIafm2Dur8z6cFWn14Md+LITjUapVFQiUF2yx7d4V3wceiBCMC+i/B/afGzwDikJ/QxzdwittS1KmbvGeWAsSDiekwtdvkSeR08RAoFaZFW0Nl5c7ARlhlVLROgOuQvggqUWLIwTAHjWJhmLck2YMRc0LwfWfqoBKXTXDii6V0Xv/zOhnk4uw3fyAu3nD7qQPhpVbyQoDVlZf+YLxzlm7SHnetQvsZcIDAD78kMGglNZpPObFN69iwOJ7TYEz41uxKYz8jw8CC5FFWcveArWJna4JIhkcWIvzBf/ZZ/fKCz/KlWJAnDCqM472+rI+IhwQBk396avBkzgOYNzgndIoL1NLQIkCeV6CrYHzEyP9Obc32Q7iP/Uo+REW3euOl5W6nUxGxrC23QU643AHE2zVJbjA/3zs81fVswnglbDY6SI0NiFznNnqxGR3++7bHXTZPbRUdRnzFSpTyN37pAQ/sZex16vD38uQSb7y9cC1bOTiMqpnAMg3/bONoXy9zRBQ87ylDzLSE0+Jy6eNlgAiSZy++20gJidOjgHR69GIiNU/d6wQNY+wLzAarVWhxUbTyikwvdiHTzAFMqdmvxeX+zfzCsz9887v9ybrhW+zktU20o7/9lS9T5b+ARr+WHr+wFlofHBNKpMHVKcqv7pcQqY2n1KgAyXw==
coderdojo-mishima-numazu,mishima-numazu,CoderDojo三島沼津用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDddbyIq88/BpzTYXjx8u0HmFy90UWBIH6G90rcNxmE0z//Wn9Wm7O8Uw1c3EL/TX4R0jT6tHy3rPvnEXiK74Px1GS2tiGskNi6M/yqtpKlzN8aXP4tDd+i8rtfzow7jNO4zNmqvPvZ5PQS7+1ESqvOnYg63RkC7Ah+Gl2/LGGhJJsJj9mJn0Gi05N69f+TAph7rinqRZXjeT+ZzUSIpK7imnMDsKQ1nmokBH5dIKUxO46BX/Kn2GPkl3nqIk5XuI8T7Ku8drLCDQf6xnvg/FGAmDmNVY9ggQdzt3EbQtmJJ3jgi9+qcldgLS7aBNVZfXIeOIf5/+9LkDEXB8Ojp7qD urushibata@URUSHIBATA-WIN
coderdojo-inazawa-shomeiji,inazawa-shomeiji,CoderDojo稲沢正明寺のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDIEyjymoAOGcKkViwHl+NvFgFw0h3Bb514AUv2LCD8gxWCAgjhBYDa1eyIhQlmqdpWjBQCbM0j7jevTXxBKlV+r0v7rryQOfEhOCATE4hns+ynQPHTTrmaYotp7So5x+eHNJbqfq3KskcAKQ9lWGlo0wWp99U9C2qraxjnt4w/3/YLhmAqUinsG4E7SHtRFqqZhl65nTV9jFQxS6Y5/KaHmdf4lrKogc3yUQKbjU0jDiYDqas7h/PE98wBZwAi2cpbIJZ6t5KYcPPQCC8sPQffyet51kAJBdd3XPE9ca+Smx2EuA0XELgjv9WVm32V6AZsRcj90MJmfDgZSkEfeVTn gotohiro@gotouyoukana-no-MacBook-Pro.local
coderdojo-matsuyama,matsuyama,CoderDojo松山のサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDHWCHNU57JAMZSNjqZz5le0NTLy/4VxNABqLqMBU3MdBgqCkqo2qInLp53XWh06qMYsQN3znh5cYaM6ealLvPyREWJtYpQFeJ9AEJt/kTbWO61Jt4YxPsB7F0cNajcrP2UKaixDJRUQS/aUNOV7va9Rk34ODUK5I/PmJmMLcxINIu4hig08aWKrf+y5TLTM9uCyPJOKNCh9XRkinH7Wt0vB3NpTXJESYXRQObrN/1QBIdPNqjLGF8fBuLcJ2R4n1FjpUDrlcw8vwgFykan3es4hyyhX6nA7wZ9x4w1PFMbDOH4gg+e6Iwu76L2YlurBHnIzAHIo8XGSxozUH+to/Zb j-sai@Yomi
coderdojo-kurashiki,kurashiki,CoderDojo倉敷のサーバーです。マインクラフトのサーバーに使います。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAtFEvIIzd91Erlhbroq5rjM9nn7YeKct2Zq8iXerSFRCy1BJehAZPf074+IiwKEYImT2W+iuChI0AmxUrRhpuIUq5SL+bUk9lkgpUrBMkF9EvYdZmZB7Scmj9Q+cJqObh+tIvsVwPFBouxlnRaDswC/uM5w6CGaqZf4ZUbp4i36Cntv2J1V+kWP2F3QuUIzK+VwoMRDyxkwllmH25XN1Pcj22tP3NzEKa9cnYOKkl+TqOkyqIqDEaSe3BOiMWZui7Jx+/dikefxGWqwHRkFz6lW5TonBI7ekPuaU+b31kbZHTVaNdcqA/N/RGYGxvXZnd1YUB+p5RuzzpYz6BNULAaw==
coderdojo-sapporo-east,sapporo-east,CoderDojo札幌東のサーバーです。マインクラフト用サーバーとして活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC+wCqPYDuJxwckuT9o15fXtj5UglDp4wwMAgrRke4F6CGqmowjOXX8HMDYxx1QCP49DbXhKcoxU0/ugZyNq5T3n4twZW01MmXpNR1L+BhVDoLBS4dgNEtuZ7+jvO/JVp5N45BgjteDkv0GDhZr/1UOqDNBBHGNoSNdp1RQqrxiMOV9WTdLB5xeGr5MkR2+KVmau4JHzYsbbPl5kNmJeLFASl8rlBlpeA7yHTIAXlzkQCECj5j1NC1nwB8aIgbNrTAqpIouBaWBAV/XcVstGJVBepRzpAK7u9XupMioo04Mbh2qhsam4BuGq8jgfaIbTO8p23YP/N3dD/rIl1pgM5JgAL3L86BtXiCGRsqcz4FdYt/sQE2qUtknVFm1SDTR7NYeVTxctF6217T80NY1xYEbm0kkNRRjwLBA+ME+WbBfDGgGbjDGUkLLoxHpadpQ8BzjoEJ5CJUdqPS1TvqT+5h22f+owKBo0nqNABpKBaNGKVBfXpImmpz8l1PkjmHlQQPL5l0TGSuIfevJxHSucTtuu60hl9iZwS+gU/SWx67YS6YisoGQoPJ3Zdmq2gZHbPrLjIVaWQbf2UhaPJxZnhv5d4ThXwiJ27tLS+J3zYCphCoSxYKdiBJhHpd7sAhmebvrqqvJ+SQI1gig9RjoRtlzeTo/A+ONV/1YYQonKg3sHw== yasuda@futo-lab.com
coderdojo-seto,seto,CoderDojo瀬戸のサーバーです,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQC74lgCKZRUpKX9/Yjw/MLwE1TAtLF7aWWJ6Be8pFXt7u53j9XXo/SfgI5ooQUCZQh9l9uuu96H9v1zstTN4DpuDP+QUwTUk03F6DJO82pAkrtOENAJrsP39Fv27oMCOII5pPRUB687QsU28cRhurIeMYwwAvahS670lP/Pnzi9THvftdYWrX8ROu33lr+pWRcJI+gsnas6MpwYZ13Ge1V0SDnu+MxnAlI96b6XKtutsDxMPX5zPHyYf0z5sEHZ2Cjqrt1reW+jzvmNoG/TO4htWkJ8bSQmPWYmjqa0iZyee9ysh29idJiNTgdVHQ1V3TM6uDk7l3+DcWXypovdBk7MR87k0Yab619hWjotm1Hg101k0p3xmwYXC4j8+Wah3fsQXOSOtcJ6iur0XW/+F3XVt6/e8GdGm0V+AtNillbSkggWM6a+nhyXPy5bYKlSxyBNOrQ75zfcnw3p+s3s+n0UODIEz3JhiGSz/lFcD7zV5PgouCoXnHmwjEs0quQWTFE= ichiro@ichiroc.local
coderdojo-mizuho,mizuho,CoderDojo瑞穂のサーバーです,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDWDE4LVDaQXRG3gZhtjg5WrxN2PnBKAw2uJMw6QJ3WapWli6iuq984WM7G2ux3PH3DY6SQozTjZJltATzNKEi4EvOQXA6cr3/zO+qHROPOZcxc6qDAqzBg8fexcXoFJroYlrlFRMsdXo1YlX1kdJWQQpgJG8CHYDRkrp/BIQjtwswu5uICqsC00LFN2DhPXdBBMciUqZjaFMEWaT5iHwDa41OLeLJ6N8MYMr9SOCWcC1clj2qbQYsP2oVfzXD5MrodTUYn4sLx0GVPi9gw+3VxhHR5pAiHOwMB0GK375IWzBcsbwHzSkyq1xIUjbIWLwqmV2JbFiK1IS9mxcbNdVkD sahara@DESKTOP-4IAPFNM
dojocon2020, dojocon2020, DojoConJapan2020用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABgQChtY2VtORtrWKHDXhOYze/bmoFQF5v2ULsulCik1TFN4yV79Ud7rsiC5y5lXyMhNSneJ8iGRcPoMKy+K6wNQvjh38mTv42dN1adq/JkQoYIQmXdnxlbKEm3cYSCY9VwuwNook0lkP639l6SzpJmGfKEP2BIIt7+9P898KQtELd4wo8FC7wKRl9uc8jeDylOn/8AzBv+zMyS7c0jfqURN9y5NvRtimTIbpA0iHf2r8XtzAa3hW3Bo7TlXaPyOQI7sQCTi9LYxew2JRCW4aIcG//HZ3VfNP7iqHyEL2gUZ3J/MJn8wGiqhTyAMF0NxIByBea5+yxlm2FmUBYuPrjwSGJGk1vna3YoSWKTbB6BGEWxo6RfPXDE4cznhlx1sLdFLeZC71xB+b5Mmu109trYotGieGpONfiiVXmX2OVkmXKuBdFGZYJEess4Pey1kuFUKRsTRqkM5q1dCSSAYLJGtJGWlZ1b+YotqsBV167VkGQwg/a7f7NkBbMN3YBpQJocu0=
